28.364 2.188 -0.178
24.620 9.444 -0.532
28.388 -0.964 -0.281
28.668 -2.004 -0.778
22.820 -4.428 0.610
32.708 -0.580 0.341
26.676 8.988 0.169
28.244 -0.364 -0.457
31.556 7.340 -0.110
26.284 -4.364 0.108
32.732 9.516 -0.782
25.764 3.652 -0.666
28.444 -1.252 0.009
17.636 -3.068 0.298
20.668 2.452 0.627
21.596 4.684 -0.541
19.820 -1.940 -0.470
29.508 -4.172 -0.016
32.948 10.084 -0.110
26.660 3.068 0.225
19.740 2.500 0.067
19.916 -2.212 -0.396
24.068 8.932 0.250
32.156 -3.908 0.716
29.956 -0.540 -0.149
28.236 6.572 -0.509
17.644 9.100 0.070
23.764 5.308 0.142
31.604 7.772 0.322
22.508 1.132 -0.481
32.756 3.580 0.541
28.244 9.012 -0.790
19.108 -0.212 -0.725
29.612 1.460 -0.344
28.772 -1.876 0.374
22.108 -4.124 -0.078
27.836 -0.964 -0.278
23.348 5.508 -0.576
19.588 6.628 0.692
30.812 -1.348 -0.305
20.820 0.932 -0.775
18.236 -4.124 0.617
21.148 0.500 -0.233
24.716 -0.364 0.685
29.276 -2.076 -0.331
25.020 5.548 -0.254
19.052 0.092 0.422
24.268 8.956 -0.137
29.324 -4.748 -0.584
28.244 8.764 -0.228
20.020 -3.708 0.637
23.084 0.044 -0.604
24.068 6.708 -0.063
29.740 -1.868 0.390
31.412 -3.076 0.673
20.100 4.644 0.400
25.572 9.212 -0.701
24.612 2.996 0.685
31.244 -0.972 -0.618
20.220 9.972 0.749
28.756 -0.492 -0.450
27.124 5.300 0.326
29.092 -3.932 -0.114
20.460 -4.668 0.190
19.180 9.444 0.654
20.724 -3.756 0.009
32.724 7.332 -0.179
20.532 -1.356 0.610
22.204 -0.596 -0.315
24.020 2.332 -0.146
26.324 0.604 0.295
32.636 10.436 -0.003
27.892 9.044 0.376
18.764 -0.980 0.399
31.476 0.900 0.515
30.020 7.140 -0.689
24.932 9.388 0.535
17.956 -0.564 -0.429
18.876 7.156 0.284
23.732 -2.116 -0.311
30.276 9.724 0.239
28.044 9.068 0.454
20.020 6.476 0.249
31.780 7.940 0.641
30.588 8.940 -0.098
27.740 5.660 -0.211
28.852 0.108 -0.382
29.020 0.764 0.333
19.556 5.164 -0.061
30.396 -4.404 0.499
22.100 -4.612 0.362
32.492 6.132 0.440
29.044 -4.332 -0.022
26.348 10.148 -0.056
24.764 10.252 -0.272
18.604 4.692 0.785
24.492 3.068 -0.033
31.484 1.604 0.534
26.820 3.860 -0.059
21.028 3.772 0.272
18.020 8.572 0.301
29.636 10.588 0.086
28.860 9.148 0.143
20.644 2.196 0.330
28.084 -3.524 0.527
17.372 -2.212 0.168
20.036 7.796 -0.635
27.708 8.804 0.298
27.868 5.140 -0.145
22.092 8.868 0.723
32.812 9.588 0.752
30.636 8.740 -0.618
26.316 4.300 0.787
22.564 10.460 0.179
20.676 5.252 0.317
17.948 8.140 -0.733
27.636 10.876 0.538
32.100 8.100 0.308
27.076 5.492 -0.288
17.636 10.284 -0.230
19.684 -3.380 -0.381
22.020 -3.228 -0.335
23.852 5.788 0.586
26.540 11.052 -0.797
20.332 1.252 0.218
31.508 1.900 0.204
32.180 -3.764 0.463
32.372 11.044 0.164
30.268 7.636 -0.397
22.204 10.788 -0.197
27.908 -2.828 -0.045
18.916 4.716 0.405
23.572 -4.732 -0.126
24.244 7.324 0.151
24.276 10.364 0.766
21.284 -4.612 -0.154
31.324 -2.916 0.242
27.964 -3.836 0.518
24.420 9.132 0.454
31.268 -1.956 0.423
21.300 -4.532 0.630
31.676 -2.908 -0.008
27.724 3.364 0.290
21.276 -2.876 -0.086
30.788 4.100 0.122
33.268 10.900 0.150
26.556 8.932 0.349
20.980 6.412 0.737
20.980 -2.468 -0.778
17.516 -4.500 -0.202
29.748 2.316 -0.165
30.876 0.692 0.034
25.612 -4.884 -0.458
20.524 -0.900 -0.255
30.476 -0.596 -0.673
26.508 -0.620 -0.693
20.012 8.636 -0.628
18.316 -0.868 0.503
17.692 2.812 -0.572
20.732 5.844 -0.532
26.716 2.300 0.190
33.068 2.692 -0.569
28.236 11.004 -0.566
31.660 1.044 0.115
23.932 -1.780 0.546
28.020 7.428 -0.345
31.908 -3.044 -0.591
17.636 -2.020 0.094
17.484 1.188 -0.735
19.772 4.620 0.340
25.268 -1.964 -0.258
19.172 0.620 0.501
21.492 -4.444 0.491
26.644 -3.260 -0.514
19.796 6.188 0.080
20.068 0.908 -0.005
24.628 -0.484 0.462
29.532 2.668 -0.568
22.476 2.860 0.041
25.940 8.148 -0.326
24.156 0.116 0.250
32.388 4.812 -0.516
29.396 -4.180 -0.470
29.132 7.980 -0.025
18.812 -2.708 -0.516
30.428 0.060 0.346
25.196 10.204 -0.530
21.828 9.260 0.227
24.148 -1.564 -0.315
19.380 9.892 -0.610
26.940 3.572 0.174
21.444 2.660 -0.174
24.284 -1.236 -0.102
30.396 -2.588 -0.414
22.156 -1.076 -0.194
27.812 -1.132 0.583
26.100 6.772 0.494
28.804 -4.700 0.310
25.892 4.964 -0.674
30.748 7.044 -0.514
19.460 0.692 0.334
32.012 7.652 -0.510
22.276 1.452 0.138
32.076 -1.452 0.370
22.756 6.220 -0.566
31.628 3.556 0.092
29.468 -3.644 -0.341
29.228 10.676 -0.039
27.148 3.268 -0.370
31.220 3.532 -0.776
18.084 5.700 0.065
29.428 7.228 0.002
19.148 -3.788 0.637
28.532 -2.196 -0.336
27.044 3.268 0.776
32.196 1.596 0.303
25.116 0.580 0.429
32.532 -3.492 0.386
26.956 9.172 -0.114
31.252 7.092 0.729
18.316 10.700 0.189
29.780 9.644 0.084
21.804 -4.508 0.195
22.988 9.540 0.747
27.628 6.100 -0.036
30.212 7.812 0.614
25.244 2.444 -0.156
24.356 1.676 -0.014
23.036 -4.660 0.074
29.892 -3.892 -0.326
29.188 -2.876 -0.366
25.892 9.612 -0.230
18.732 -1.884 -0.190
31.500 3.804 -0.065
30.980 0.956 -0.565
25.436 -2.132 -0.612
26.396 8.628 0.122
32.844 -0.316 -0.538
24.700 5.428 -0.232
17.444 4.836 -0.131
25.004 3.540 0.072
32.164 -3.860 -0.077
